Matrix size,CPU time (s),CPU JIT time (s),CUDA time (s),Numpy dot time (s),CPU JIT speedup,CUDA speedup,Numpy dot speedup
100,0.0008366039999714303,0.1346048396666646,0.08744335066667001,0.0008116280833310915,0.006215259436757225,0.00956738269511796,1.0307726126698726
250,0.014591598000038175,0.020497739333331804,0.002194737166666035,0.013597150250002224,0.7118637700846586,6.648448944892964,1.0731364831418104
500,0.1532108170000015,0.20333054558333194,0.009675821583329025,0.14626246016666755,0.7535061520661211,15.834398730953902,1.0475060847835884
750,0.47770235899997715,0.661999046083333,0.023446053333335232,0.48022436891666587,0.7216058117096494,20.374531790422374,0.9947482675184142
1000,1.0698332850000156,1.5527835647500012,0.044423296083332765,1.1490984404999978,0.6889777231588996,24.08270838330269,0.9310196996999733
